site,address,city,population,program type,site type,detail,Capacity,capacity_status,capacity desc,opened,LAT,LON
33 Gough Cabins,33 Gough Street,San Francisco,adult,emergency shelter,non-congregate,cabin,70,known,70,2022,37.7719015,-122.4213151
711 Post Shelter,711 Post Street,San Francisco,adult,emergency shelter,semi-congregate,emergency shelter,250,known,250,2022,37.7873559,-122.4138046
A Woman's Place,1049 Howard Street,San Francisco,adult,emergency shelter,congregate,emergency shelter (woman's only),25,known,25,2022 (re-opened),37.778581,-122.4082383
Adante Non-Congregate Shelter,610 Geary Street,San Francisco,adult,emergency shelter,non-congregate,emergency shelter / shelter overflow,93,known,93,2020,37.7869489,-122.4136429
Baldwin SAFE Navigation Center,74 6th Street,San Francisco,adult,navigation,non-congregate,Navigation Center (SAFE) ,180,known,180,2022,37.7811177,-122.4093565
Bayshore Navigation Center ,125 Bayshore Boulevard,San Francisco,adult,navigation,congregate,Navigation Center  ,128,known,128,,37.7467557,-122.4035827
Bayview SAFE Navigation Center,1925 Evans Avenue,San Francisco,adult,navigation,congregate,Navigation Center (SAFE) ,186,known,186,2021,37.7465479,-122.3949151
Bayview VTC,500 Hunters Point Expreessway,San Francisco,adult,crisis intervention,non-congregate,Safe Parking,35,known,35,2022,37.712068,-122.381604
Buena Vista Horace Mann Shelter,3351 23rd Street,San Francisco,family,emergency shelter,congregate,emergency shelter,80,known,80,,37.7532961,-122.420205
Central Waterfront Navigation Center,600 25th Street,San Francisco,adult,navigation,congregate,Navigation Center ,64,known,64,,37.7530836,-122.3848957
*Civic Center Hotal Navigation 2,20 12th Street,San Francisco,adult,navigation,congregate,Navigation Center,113,known,113,2022,37.773924,-122.419847
Compass Family Shelter,626 Polk Street,San Francisco,family,emergency shelter,non-congregate,emergency shelter,22,known,22,,37.7826089,-122.4188235
Cova Non-Congregate Shelter,655 Ellis Street,San Francisco,adult,emergency shelter,non-congregate,emergency shelter,95,known,95,2020,37.7840381,-122.4168934
Diamond Youth Emergency Shelter,536 Central Avenue,San Francisco,minor,emergency shelter,congregate,emergency shelter,15,known,15,,37.7747289,-122.4442065
Division Circle Navigation Center,224 South Van Ness Avenue,San Francisco,adult,navigation,congregate,Navigation Center,186,known,186,,37.7693238,-122.4184668
Dolores Adult Shelter (includes Jazzie's),1050 South Van Ness Avenue,San Francisco,adult,emergency shelter,congregate,emergency shelter,91,known,91,,37.7564789,-122.4169612
Ellis Semi-Congregate Shelter,685 Ellis Street,San Francisco,adult,emergency shelter,semi-congregate,emergency shelter,131,known,131,2020,37.7840217,-122.4173582
Embarcadero SAFE Navigation Center,555 Beale Street,San Francisco,adult,navigation,congregate,Navigation Center (SAFE) ,200,known,200,,37.7856977,-122.3885306
Hamilton Families Emergency Shelter,260 Golden Gate Avenue,San Francisco,family,emergency shelter,congregate,emergency shelter,36,known,36,,37.7820282,-122.4150283
Hamilton Families -- Pregnant Person's Pilot,260 Golden Gate Avenue,San Francisco,family,emergency shelter,congregate,emergency shelter,4,known,4,,37.7820282,-122.4150283
*Hamilton Families Residence,1631 Hayes Street,San Francisco,family,emergency shelter,non-congregate,emergency shelter,27,known,27,,37.7740675,-122.4432659
Harbor House,407 9th Street,San Francisco,family,emergency shelter,non-congregate,emergency shelter,30,known,30,,37.7724445,-122.4098294
Hospitality House Shelter,146 Leavenworth Street,San Francisco,adult,emergency shelter,non-congregate,emergency shelter (men only),22,known,22,2022 (re-opened),37.7825476,-122.4137611
Huckleberry House Emergency Shelter,1292 Page Street ,San Francisco,minor,emergency shelter,semi-congregate,emergency shelter,6,known,6,,37.7717793,-122.4420892
Lark Inn,869 Ellis Street,San Francisco,TAY,emergency shelter,congregate,emergency shelter,36,known,36,,37.7838201,-122.4203721
Lower Polk TAY Navigation Center,700 Hyde Street,San Francisco,TAY,navigation,congregate,navigation center,75,known,75,2021,37.78738,-122.416561
Mission Cabins,1979 Mission Street,San Francisco,adult,emergency shelter,non-congregate,cabin,60,known,60,2024,37.7654163,-122.4195183
Monarch Non-Congregate Shelter,1015 Geary Street,San Francisco,adult,emergency shelter,non-congregate,emergency shelter,100,known,100,2020,37.7856091,-122.4200713
MSC South,525 5th Street,San Francisco,adult,emergency shelter,congregate,emergency shelter,327,known,327,,37.777748,-122.3998587
Next Door,1001 Polk Street,San Francisco,adult,emergency shelter,congregate,emergency shelter,334,known,334,,37.786002,-122.419866
PATH,2500 18th Street,San Francisco,family,emergency shelter,non-congregate,emergency shelter,16,known,16,,37.7621518,-122.4075788
Providence Family - Emergency Center - Oasis Shelter,900 Franklin Street,San Francisco,family,emergency shelter,non-congregate,emergency shelter,54,known,54,,37.7829732,-122.4222388
Sanctuary,201 8th Street,San Francisco,adult,emergency shelter,congregate,emergency shelter,200,known,200,,37.7762948,-122.4111736
St. Joseph's Family Center,899 Guerrero Street,San Francisco,family,emergency shelter,non-congregate,emergency shelter,10,known,10,,37.7707317,-122.4247884
